run,time,transmittance
1,0,93.6
1,30,87
1,60,84
1,90,80.2
1,120,76
1,150,71.6
1,180,69.2
1,210,66
1,240,63
1,270,60.2
1,300,58.6
1,330,57
1,360,54.3
1,390,51.6
1,420,50
1,450,47.8
1,480,46.8
1,510,44.4
1,540,43.2
1,570,41.8
1,600,40.4
1,630,38.4
1,660,37
1,690,35.8
1,720,34.8
1,750,34
2,0,93
2,30,78.6
2,60,75.2
2,90,70.8
2,120,65.4
2,150,61.8
2,180,44.8
2,210,53.6
2,240,47.8
2,270,47.4
2,300,44.2
2,330,43.4
2,360,42.2
2,390,39.6
2,420,37.2
2,450,36.6
2,480,35.8
3,0,103
3,30,9.4
3,60,70.2
3,90,55.6
3,120,55.6
3,150,50
3,180,44.4
3,210,39.8
3,240,37.2
3,270,33.6
3,300,30.4
3,330,28.2
3,360,26.2
3,390,25
3,420,24
3,450,20.8
3,480,19.8
3,510,18.6
3,540,18.4
3,570,17.2
3,600,17.2
3,630,16.6
3,660,16.2
3,690,16
3,720,14.6
3,750,14
3,780,13.6
3,810,13
3,840,13
3,870,12.4
3,900,11.8
4,0,88.6
4,30,50
4,60,38.2
4,90,29.8
4,120,24.2
4,150,20.6
4,180,18
4,210,16
4,240,14.6
4,270,13.2
4,300,13
4,330,12.6
4,360,12
4,390,11.8
4,420,11.4
4,450,11.6
4,480,11.4
4,510,18.6
4,540,11.4
4,570,11
4,600,11
4,630,10.8
4,660,10.8
4,690,10.8
4,720,10.8
4,750,11.2
4,780,11
4,810,10.8
4,840,11
4,870,11
4,900,11
